# gps_log.csv — pre-recorded GPS track
# Format: latitude_deg, longitude_deg, altitude_m, speed_mps, heading_deg
# Lines starting with '#' are ignored by the parser.

37.775000,-122.419400,10.0,4.2,0.0
37.775100,-122.419300,10.5,4.5,45.0
37.775200,-122.419100,11.0,4.8,60.0
37.775300,-122.418900,11.2,5.0,75.0
37.775400,-122.418700,11.5,5.1,90.0
37.775350,-122.418500,11.8,4.9,100.0
37.775200,-122.418400,12.0,4.7,130.0
37.775000,-122.418500,11.8,4.4,170.0
37.774800,-122.418700,11.5,4.2,200.0
37.774700,-122.419000,11.0,4.0,225.0
37.774800,-122.419200,10.8,4.1,270.0
37.774900,-122.419400,10.5,4.2,315.0
37.775000,-122.419400,10.0,4.2,360.0
